layer_index,tensor_index,best_c,val_auroc,val_auprc,val_accuracy,val_f1,test_auroc,test_auprc,test_accuracy,test_f1,test_precision,test_recall,test_mean_score_deceptive,test_mean_score_honest,test_score_separation
0,0,1.0,0.9932,0.9934159876655524,0.94,0.9391891891891891,0.9913777777777778,0.9770964678061452,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9663281440734863,0.03738666698336601,0.9289414770901203
1,1,1.0,0.9952444444444445,0.9950693330926539,0.9733333333333334,0.9733333333333334,0.9920444444444444,0.9847695436065017,0.9766666666666667,0.9767441860465116,0.9735099337748344,0.98,0.9813979268074036,0.03322065994143486,0.9481772668659687
2,2,0.1,0.9940888888888889,0.9937747422481197,0.9666666666666667,0.9666666666666667,0.9972888888888889,0.9970700850296889,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9784653782844543,0.030381282791495323,0.948084095492959
3,3,0.01,0.9942222222222222,0.9940730027716063,0.97,0.9696969696969697,0.9972444444444445,0.9971570644616622,0.98,0.9801324503311258,0.9736842105263158,0.9866666666666667,0.9626129269599915,0.0459759496152401,0.9166369773447514
4,4,0.1,0.9954222222222222,0.9951950685019679,0.9666666666666667,0.9666666666666667,0.9981333333333333,0.9981130683393331,0.9833333333333333,0.9834983498349835,0.9738562091503268,0.9933333333333333,0.9811167120933533,0.036695823073387146,0.9444208890199661
5,5,1.0,0.9957333333333334,0.9956715775783647,0.97,0.9698996655518395,0.9992444444444444,0.9992650846455565,0.9833333333333333,0.9834983498349835,0.9738562091503268,0.9933333333333333,0.9907141327857971,0.028596842661499977,0.9621172901242971
6,6,0.1,0.9956,0.9959226042551506,0.9733333333333334,0.9733333333333334,0.9986666666666666,0.9986533888174056,0.9766666666666667,0.976897689768977,0.9673202614379085,0.9866666666666667,0.982998788356781,0.029720887541770935,0.9532779008150101
7,7,0.1,0.998,0.9981323727438687,0.9766666666666667,0.9765886287625418,0.9992888888888889,0.9992869796031796,0.9833333333333333,0.9834983498349835,0.9738562091503268,0.9933333333333333,0.9874477386474609,0.025212831795215607,0.9622349068522453
8,8,10.0,0.9980444444444445,0.9980182540659082,0.98,0.9798657718120806,0.9959111111111112,0.9944904666261802,0.98,0.98,0.98,0.98,0.9820668697357178,0.018753880634903908,0.9633129891008139
9,9,0.1,0.9978666666666667,0.9978416913655144,0.98,0.9798657718120806,0.9969333333333333,0.9964446182547552,0.9866666666666667,0.9867549668874173,0.9802631578947368,0.9933333333333333,0.9893548488616943,0.023933319374918938,0.9654215294867754
